,description,stargazers,watchers,forks,languages,repositoryTopics,n_languages,no_code,primary_language,Python,Julia,R
https://github.com/ksenia-konyushkova/LAL,"This project contains code for paper Ksenia Konyushkova, Raphael Sznitman, Pascal Fua 'Learning Active Learning from Data', NIPS 2017",17,5,7,"['Jupyter Notebook', 'Python']",[],2,False,Jupyter Notebook,True,False,False
https://github.com/facebookresearch/GradientEpisodicMemory,Continuum Learning with GEM:  Gradient Episodic Memory,107,7,16,"['Python', 'Shell']",[],2,False,Python,True,False,False
https://github.com/rflamary/JDOT,Joint distribution optimal transportation for domain adaptation,19,2,10,['Python'],[],1,False,Python,True,False,False
https://github.com/thuml/Xlearn,Transfer Learning Library,92,6,54,"['Jupyter Notebook', 'C++', 'Python', 'Cuda', 'CMake', 'Matlab', 'Shell', 'Makefile', 'CSS', 'HTML']","['deep-learning', 'transfer-learning']",10,False,Jupyter Notebook,True,False,False
https://github.com/CBMM/eccentricity,implementation of eccentricity-dependent model for object recognition,8,6,5,"['Jupyter Notebook', 'Python', 'Shell']",[],3,False,Jupyter Notebook,True,False,False
https://github.com/sjoerdvansteenkiste/Neural-EM,"Code for the ""Neural Expectation Maximization"" paper.",34,4,11,['Python'],[],1,False,Python,True,False,False
https://github.com/charlesq34/pointnet2,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,393,40,139,"['Python', 'C++', 'Cuda', 'Shell']","['point-cloud', 'deep-learning', 'classification', 'segmentation', '3d-shape']",4,False,Python,True,False,False
https://github.com/vermaMachineLearning/FGSD,Graph Feature Representation/Vector Based On The Family Of Graph Spectral Distances (NIPS 2017).,10,1,0,['Python'],[],1,False,Python,True,False,False
https://github.com/panji1990/Deep-subspace-clustering-networks,,38,11,30,['Python'],[],1,False,Python,True,False,False
https://github.com/blei-lab/context-selection-embedding,Context Selection for Embedding Models,14,22,7,['Python'],[],1,False,Python,True,False,False
https://github.com/bikash617/Aggressive-Sampling-for-Multi-class-to-BinaryReduction,,0,1,0,['Python'],[],1,False,Python,True,False,False
https://github.com/rizalzaf/adversarial-ordinal,Adversarial Surrogate Losses for Ordinal Regression,2,1,1,['Julia'],[],1,False,Julia,False,True,False
https://github.com/max-andr/cross-lipschitz,"Code for the paper: ""Formal Guarantees on the Robustness of a Classifier against Adversarial Manipulation""",9,1,2,['Python'],[],1,False,Python,True,False,False
https://github.com/svenpeter42/LightGBM-CEGB,Fork of Microsoft/LightGBM to include support for the CEGB (Cost Efficient Gradient Boosting) algorithm. Original repository at https://github.com/Microsoft/LightGBM,7,3,1,"['C++', 'Python', 'R', 'C', 'CMake', 'Shell', 'Batchfile']",[],7,False,C++,True,False,True
https://github.com/Microsoft/LightGBM,"A fast, distributed, high performance gradient boosting (GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks. It is under the umbrella of the DMTK(http://github.com/microsoft/dmtk) project of Microsoft.",5726,377,1519,"['C++', 'Python', 'R', 'C', 'CMake', 'Shell']","['gbdt', 'gbm', 'machine-learning', 'data-mining', 'distributed', 'lightgbm', 'gbrt', 'microsoft', 'decision-trees', 'gradient-boosting']",6,False,C++,True,False,True
https://github.com/eaplatanios/makina,Machine Learning Library by Emmanouil Antonios Platanios,10,18,2,"['Java', 'Scala', 'Python', 'CSS', 'Protocol Buffer']",[],5,False,Java,True,False,False
https://github.com/toantm/keras-bda,A Bayesian Data Augmentation Approach for Learning Deep Models in Keras,14,4,7,['Python'],[],1,False,Python,True,False,False
https://github.com/c-hofer/nips2017,The code related to my nips puplication: Deep Learning with Topological Signatures,6,0,5,['Python'],[],1,False,Python,True,False,False
